Class,Samples,Precision_pct,Recall_pct,F1_pct
Background,4546,88.3617193836172,95.8644962604487,91.960329183372
Mosquito,4783,95.7243575164885,87.9991637047878,91.6993464052288
Macro Average,9329,92.0430384500529,91.9318299826183,91.8298377943004
