=== MEMORY-EFFICIENT TRAINING FOR PROBLEM TRIO ===

Loading all data...
  Loading 15857 files............... done!
  Loading 2398 files.. done!
  Loading 3515 files... done!

Original training size: 15857

Applying 2x augmentation to problem trio (memory-efficient)...
Pre-allocating 23739 total samples...
  aeAegypti: 2600 -> 5200 (2x)
  anArabiensis: 2639 -> 5278 (2x)
  cuPipiens: 2643 -> 5286 (2x)

New training size: 23739
Memory usage: 14.29 GB

Loading ResNet-18...
Network ready

Training configuration:
  Epochs: 60
  Batch: 32
  Initial LR: 0.0005
  Strategy: 2x augmentation for problem trio

Starting training...

Training on single CPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       4 |        2964 |       03:23:39 |       87.50% |       86.45% |       0.2269 |       0.3596 |          0.0005 |
|       5 |        3000 |       03:26:05 |       93.75% |              |       0.1045 |              |          0.0005 |
|       5 |        3050 |       03:29:26 |      100.00% |              |       0.0310 |              |          0.0005 |
|       5 |        3100 |       03:32:45 |       90.62% |              |       0.1862 |              |          0.0005 |
|       5 |        3150 |       03:36:02 |       93.75% |              |       0.0749 |              |          0.0005 |
|       5 |        3200 |       03:39:22 |      100.00% |              |       0.0572 |              |          0.0005 |
|       5 |        3250 |       03:42:45 |      100.00% |              |       0.0622 |              |          0.0005 |
|       5 |        3300 |       03:46:07 |       93.75% |              |       0.1021 |              |          0.0005 |
|       5 |        3350 |       03:49:30 |       84.38% |              |       0.5531 |              |          0.0005 |
|       5 |        3400 |       03:52:53 |       96.88% |              |       0.0424 |              |          0.0005 |
|       5 |        3450 |       03:56:15 |      100.00% |              |       0.0390 |              |          0.0005 |
|       5 |        3500 |       03:59:41 |      100.00% |              |       0.0358 |              |          0.0005 |
|       5 |        3550 |       04:03:04 |       96.88% |              |       0.1129 |              |          0.0005 |
|       5 |        3600 |       04:06:28 |       87.50% |              |       0.4411 |              |          0.0005 |
|       5 |        3650 |       04:09:51 |       96.88% |              |       0.0863 |              |          0.0005 |
|       5 |        3700 |       04:13:19 |       93.75% |              |       0.0690 |              |          0.0005 |
|       5 |        3705 |       04:15:14 |       93.75% |       88.78% |       0.1475 |       0.3539 |          0.0005 |
