=== MEMORY-EFFICIENT TRAINING FOR PROBLEM TRIO ===

Loading all data...
  Loading 15857 files............... done!
  Loading 2398 files.. done!
  Loading 3515 files... done!

Original training size: 15857

Applying 2x augmentation to problem trio (memory-efficient)...
Pre-allocating 23739 total samples...
  aeAegypti: 2600 -> 5200 (2x)
  anArabiensis: 2639 -> 5278 (2x)
  cuPipiens: 2643 -> 5286 (2x)

New training size: 23739
Memory usage: 14.29 GB

Loading ResNet-18...
Network ready

Training configuration:
  Epochs: 60
  Batch: 32
  Initial LR: 0.0005
  Strategy: 2x augmentation for problem trio

Starting training...

Training on single CPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      17 |       12350 |       13:40:37 |      100.00% |              |       0.0001 |              |          0.0003 |
|      17 |       12400 |       13:43:46 |      100.00% |              |       0.0001 |              |          0.0003 |
|      17 |       12450 |       13:46:56 |      100.00% |              |       0.0011 |              |          0.0003 |
|      17 |       12500 |       13:50:05 |      100.00% |              |   5.7992e-05 |              |          0.0003 |
|      17 |       12550 |       13:53:14 |      100.00% |              |       0.0012 |              |          0.0003 |
|      17 |       12597 |       13:57:37 |      100.00% |       91.20% |       0.0004 |       0.3855 |          0.0003 |
|      18 |       12600 |       13:57:50 |      100.00% |              |   6.2672e-05 |              |          0.0003 |
|      18 |       12650 |       14:00:59 |      100.00% |              |       0.0009 |              |          0.0003 |
|      18 |       12700 |       14:04:08 |      100.00% |              |   3.1597e-05 |              |          0.0003 |
|      18 |       12750 |       14:07:17 |      100.00% |              |   7.9807e-05 |              |          0.0003 |
|      18 |       12800 |       14:10:26 |      100.00% |              |       0.0010 |              |          0.0003 |
|      18 |       12850 |       14:13:34 |      100.00% |              |       0.0005 |              |          0.0003 |
|      18 |       12900 |       14:16:43 |      100.00% |              |       0.0006 |              |          0.0003 |
|      18 |       12950 |       14:19:52 |      100.00% |              |   7.4291e-05 |              |          0.0003 |
|      18 |       13000 |       14:23:01 |      100.00% |              |       0.0029 |              |          0.0003 |
|      18 |       13050 |       14:26:09 |      100.00% |              |       0.0001 |              |          0.0003 |
|      18 |       13100 |       14:29:18 |      100.00% |              |       0.0029 |              |          0.0003 |
|      18 |       13150 |       14:32:27 |      100.00% |              |       0.0001 |              |          0.0003 |
|      18 |       13200 |       14:35:36 |      100.00% |              |       0.0004 |              |          0.0003 |
|      18 |       13250 |       14:38:45 |      100.00% |              |       0.0002 |              |          0.0003 |
|      18 |       13300 |       14:41:54 |      100.00% |              |   7.3445e-05 |              |          0.0003 |
|      18 |       13338 |       14:45:45 |      100.00% |       91.16% |       0.0004 |       0.3763 |          0.0003 |
|      19 |       13350 |       14:46:32 |      100.00% |              |       0.0005 |              |          0.0003 |
|      19 |       13400 |       14:49:41 |      100.00% |              |       0.0022 |              |          0.0003 |
|      19 |       13450 |       14:52:50 |      100.00% |              |       0.0002 |              |          0.0003 |
|      19 |       13500 |       14:55:59 |      100.00% |              |       0.0002 |              |          0.0003 |
|      19 |       13550 |       14:59:08 |      100.00% |              |       0.0005 |              |          0.0003 |
|      19 |       13600 |       15:02:20 |      100.00% |              |       0.0002 |              |          0.0003 |
|      19 |       13650 |       15:05:29 |      100.00% |              |       0.0009 |              |          0.0003 |
|      19 |       13700 |       15:08:39 |      100.00% |              |       0.0005 |              |          0.0003 |
|      19 |       13750 |       15:11:47 |      100.00% |              |       0.0027 |              |          0.0003 |
|      19 |       13800 |       15:14:56 |      100.00% |              |   2.8470e-05 |              |          0.0003 |
|      19 |       13850 |       15:18:05 |      100.00% |              |       0.0009 |              |          0.0003 |
|      19 |       13900 |       15:21:14 |      100.00% |              |       0.0004 |              |          0.0003 |
|      19 |       13950 |       15:24:22 |      100.00% |              |       0.0002 |              |          0.0003 |
|      19 |       14000 |       15:27:31 |      100.00% |              |       0.0003 |              |          0.0003 |
|      19 |       14050 |       15:30:39 |      100.00% |              |       0.0012 |              |          0.0003 |
|      19 |       14079 |       15:33:56 |      100.00% |       91.58% |   1.9255e-05 |       0.3675 |          0.0003 |
|      20 |       14100 |       15:35:17 |      100.00% |              |       0.0001 |              |          0.0003 |
|      20 |       14150 |       15:38:27 |      100.00% |              |       0.0001 |              |          0.0003 |
|      20 |       14200 |       15:41:36 |      100.00% |              |       0.0061 |              |          0.0003 |
|      20 |       14250 |       15:44:45 |      100.00% |              |   3.7138e-05 |              |          0.0003 |
|      20 |       14300 |       15:47:54 |      100.00% |              |       0.0012 |              |          0.0003 |
|      20 |       14350 |       15:51:03 |      100.00% |              |       0.0010 |              |          0.0003 |
|      20 |       14400 |       15:54:12 |      100.00% |              |       0.0100 |              |          0.0003 |
|      20 |       14450 |       15:57:21 |      100.00% |              |       0.0010 |              |          0.0003 |
|      20 |       14500 |       16:00:30 |      100.00% |              |       0.0004 |              |          0.0003 |
|      20 |       14550 |       16:03:38 |      100.00% |              |       0.0010 |              |          0.0003 |
|      20 |       14600 |       16:06:47 |      100.00% |              |       0.0001 |              |          0.0003 |
|      20 |       14650 |       16:09:56 |      100.00% |              |       0.0003 |              |          0.0003 |
|      20 |       14700 |       16:13:04 |      100.00% |              |       0.0006 |              |          0.0003 |
|      20 |       14750 |       16:16:13 |      100.00% |              |       0.0023 |              |          0.0003 |
|      20 |       14800 |       16:19:22 |      100.00% |              |       0.0020 |              |          0.0003 |
|      20 |       14820 |       16:22:05 |      100.00% |       91.53% |       0.0002 |       0.3531 |          0.0003 |
|      21 |       14850 |       16:24:00 |      100.00% |              |       0.0003 |              |          0.0003 |
|      21 |       14900 |       16:27:09 |      100.00% |              |   5.1086e-05 |              |          0.0003 |
|      21 |       14950 |       16:30:18 |      100.00% |              |       0.0013 |              |          0.0003 |
|      21 |       15000 |       16:33:27 |      100.00% |              |   6.1390e-05 |              |          0.0003 |
|      21 |       15050 |       16:36:36 |      100.00% |              |       0.0006 |              |          0.0003 |
|      21 |       15100 |       16:39:45 |      100.00% |              |       0.0002 |              |          0.0003 |
|      21 |       15150 |       16:42:54 |      100.00% |              |   7.8783e-05 |              |          0.0003 |
|      21 |       15200 |       16:46:03 |      100.00% |              |       0.0003 |              |          0.0003 |
|      21 |       15250 |       16:49:12 |      100.00% |              |       0.0003 |              |          0.0003 |
|      21 |       15300 |       16:52:21 |      100.00% |              |       0.0003 |              |          0.0003 |
|      21 |       15350 |       16:55:30 |      100.00% |              |       0.0003 |              |          0.0003 |
|      21 |       15400 |       16:58:39 |      100.00% |              |   8.1918e-06 |              |          0.0003 |
|      21 |       15450 |       17:01:48 |      100.00% |              |   5.9773e-05 |              |          0.0003 |
|      21 |       15500 |       17:04:57 |      100.00% |              |   6.3491e-05 |              |          0.0003 |
|      21 |       15550 |       17:08:06 |      100.00% |              |   1.7552e-05 |              |          0.0003 |
|      21 |       15561 |       17:10:14 |      100.00% |       90.49% |       0.0006 |       0.3812 |          0.0003 |
|      22 |       15600 |       17:12:43 |      100.00% |              |       0.0004 |              |          0.0003 |
|      22 |       15650 |       17:15:53 |      100.00% |              |   2.6678e-05 |              |          0.0003 |
|      22 |       15700 |       17:19:02 |      100.00% |              |       0.0010 |              |          0.0003 |
|      22 |       15750 |       17:22:11 |      100.00% |              |   9.4955e-05 |              |          0.0003 |
|      22 |       15800 |       17:25:20 |      100.00% |              |       0.0010 |              |          0.0003 |
|      22 |       15850 |       17:28:28 |      100.00% |              |       0.0007 |              |          0.0003 |
|      22 |       15900 |       17:31:36 |      100.00% |              |   2.8323e-05 |              |          0.0003 |
|      22 |       15950 |       17:34:45 |      100.00% |              |       0.0001 |              |          0.0003 |
|      22 |       16000 |       17:37:53 |      100.00% |              |       0.0036 |              |          0.0003 |
|      22 |       16050 |       17:41:01 |      100.00% |              |       0.0003 |              |          0.0003 |
|      22 |       16100 |       17:44:10 |      100.00% |              |       0.0003 |              |          0.0003 |
|      22 |       16150 |       17:47:19 |      100.00% |              |       0.0003 |              |          0.0003 |
|      22 |       16200 |       17:50:27 |      100.00% |              |   8.4104e-05 |              |          0.0003 |
|      22 |       16250 |       17:53:36 |      100.00% |              |   1.6791e-05 |              |          0.0003 |
|      22 |       16300 |       17:56:44 |      100.00% |              |       0.0006 |              |          0.0003 |
|      22 |       16302 |       17:58:14 |      100.00% |       91.08% |   6.2292e-05 |       0.3814 |          0.0003 |
|      23 |       16350 |       18:01:07 |      100.00% |              |       0.0001 |              |          0.0003 |
|      23 |       16400 |       18:04:14 |      100.00% |              |       0.0002 |              |          0.0003 |
|      23 |       16450 |       18:07:21 |      100.00% |              |       0.0003 |              |          0.0003 |
|      23 |       16500 |       18:10:28 |      100.00% |              |   6.0172e-05 |              |          0.0003 |
|      23 |       16550 |       18:13:34 |      100.00% |              |       0.0006 |              |          0.0003 |
|      23 |       16600 |       18:16:40 |      100.00% |              |   5.8870e-05 |              |          0.0003 |
|      23 |       16650 |       18:19:46 |      100.00% |              |       0.0002 |              |          0.0003 |
|      23 |       16700 |       18:22:53 |      100.00% |              |   8.9812e-05 |              |          0.0003 |
|      23 |       16750 |       18:26:00 |      100.00% |              |       0.0001 |              |          0.0003 |
|      23 |       16800 |       18:29:06 |       96.88% |              |       0.1514 |              |          0.0003 |
|      23 |       16850 |       18:32:12 |      100.00% |              |       0.0002 |              |          0.0003 |
|      23 |       16900 |       18:35:19 |      100.00% |              |   7.2681e-05 |              |          0.0003 |
|      23 |       16950 |       18:38:26 |      100.00% |              |   3.9590e-05 |              |          0.0003 |
|      23 |       17000 |       18:41:32 |      100.00% |              |       0.0009 |              |          0.0003 |
|      23 |       17043 |       18:45:39 |      100.00% |       91.62% |       0.0017 |       0.3691 |          0.0003 |
|======================================================================================================================|
Training finished: Met validation criterion.

Training complete in 19.05 hours

=== EVALUATION ===

Overall:
  Validation: 93.95%
  Test:       85.43%

Per-class accuracy:
Species                Accuracy vs Previous
--------------------------------------------------
aeAegypti                71.48%     +0.56% [PROBLEM]
aeAlbopictus             85.50%     -2.83%
anArabiensis             84.45%     +2.51% [PROBLEM]
anGambiae                84.47%     +2.00%
cuPipiens                85.83%     +2.02% [PROBLEM]
cuQuinquefasciatus       99.49%     +0.00%

Model saved: model_problem_trio_fixed\model_val93.95_test85.43.mat

SUCCESS! 85.43% >= 85%
>> 
